prodct_page_rl,title,category,price,rating,availability,available_cont,pc,description,image_rl
https://books.toscrape.com/cataloge/the-long-shadow-of-small-ghosts-mrder-and-memory-in-an-american-city_4/index.html,The Long Shadow of Small Ghosts: Mrder and Memory in an American City,Crime,1.7,1,In stock,,abeafe151a57d3b,"In Cold Blood meets Adrian Nicole LeBlanc’s Random Family: A harrowing, profondly personal investigation of the cases, effects, and commnal toll of a deeply trobling crime—the brtal mrder of three yong children by their parents in the border city of Brownsville, Texas.On March 11, 3, in Brownsville, Texas—one of America’s poorest cities—John Allen Rbio and Angel In Cold Blood meets Adrian Nicole LeBlanc’s Random Family: A harrowing, profondly personal investigation of the cases, effects, and commnal toll of a deeply trobling crime—the brtal mrder of three yong children by their parents in the border city of Brownsville, Texas.On March 11, 3, in Brownsville, Texas—one of America’s poorest cities—John Allen Rbio and Angela Camacho mrdered their three yong children. The apartment bilding in which the brtal crimes took place was already rndown, and in their aftermath a consenss developed in the commnity that it shold be destroyed. It was a place, neighbors felt, that was plaged by spirital cancer. In , jornalist Lara Tillman covered the story for The Brownsville Herald. The qestions it raised hanted her, particlarly one asked by the sole member of the city’s Heritage Concil to oppose demolition: is there any sch thing as an evil bilding? Her investigation took her far beyond that qestion, revealing the natre of the toll that the crime exacted on a city already wracked with poverty. It sprawled into a six-year inqiry into the larger significance of sch acts, ones so difficlt to imagine or explain that their perpetrators are often…",https://books.toscrape.com/media/cache/b/5/b5fa31b411a4bc6debbdd6fb.jpg
https://books.toscrape.com/cataloge/ble-like-jazz-nonreligios-thoghts-on-christian-spiritality_461/index.html,Ble Like Jazz: Nonreligios Thoghts on Christian Spiritality,Christian,5.77,1,In stock,,a3361a37a7d3d,"""I never liked jazz msic becase jazz msic doesn't resolve. I sed to not like God becase God didn't resolve. Bt that was before any of this happened."" ―Donald MillerIn Donald Miller's early years, he was vagely familiar with a distant God. Bt when he came to know Jess Christ, he prsed the Christian life with great zeal. Within a few years he had a sccessfl mini ""I never liked jazz msic becase jazz msic doesn't resolve. I sed to not like God becase God didn't resolve. Bt that was before any of this happened."" ―Donald MillerIn Donald Miller's early years, he was vagely familiar with a distant God. Bt when he came to know Jess Christ, he prsed the Christian life with great zeal. Within a few years he had a sccessfl ministry that ltimately left him feeling empty, brned ot, and, once again, far away from God. In this intimate, sol-searching accont, Miller describes his remarkable jorney back to a cltrally relevant, infinitely loving God.For anyone wondering if the Christian faith is still relevant in a postmodern cltre.For anyone thirsting for a genine enconter with a God who is real.For anyone yearning for a renewed sense of passion in life.Ble Like Jazz is a fresh and original perspective on life, love, and redemption.",https://books.toscrape.com/media/cache//4a/4ab571e5461a7533eaba33e5.jpg
https://books.toscrape.com/cataloge/crazy-love-overwhelmed-by-a-relentless-god_6/index.html,Crazy Love: Overwhelmed by a Relentless God,Christian,47.7,,In stock,,4bdcfef4357,"Have yo ever wondered if we're missing it? It's crazy, if yo think abot it. The God of the niverse—the Creator of nitrogen and pine needles, galaxies and E-minor—loves s with a radical, nconditional, self-sacrificing love. And what is or typical response? We go to chrch, sing songs, and try not to css. Whether yo've verbalized it yet or not, we all know something Have yo ever wondered if we're missing it? It's crazy, if yo think abot it. The God of the niverse—the Creator of nitrogen and pine needles, galaxies and E-minor—loves s with a radical, nconditional, self-sacrificing love. And what is or typical response? We go to chrch, sing songs, and try not to css. Whether yo've verbalized it yet or not, we all know something's wrong. Does something deep inside yor heart long to break free from the stats qo? Are yo hngry for an athentic faith that addresses the problems of or world with tangible, even radical, soltions? God is calling yo to a passionate love relationship with Himself. Becase the answer to religios complacency isn't working harder at a list of do's and don'ts-it's falling in love with God. And once yo enconter His love, as Francis describes it, yo will never be the same. Becase when yo're wildly in love with someone, it changes everything. Learn more abot Crazy Love at www.crazylovebook.com",https://books.toscrape.com/media/cache/5d/34/5d344336136df3f56e1b1d53.jpg
https://books.toscrape.com/cataloge/nqalified-how-god-ses-broken-people-to-do-big-things_73/index.html,(Un)Qalified: How God Uses Broken People to Do Big Things,Christian,54.,5,In stock,,e4acdb4671,"Who Yo Think Yo Are is Not as Important as Who God Says Yo AreMany of s wrestle with the gap between or weaknesses and or dreams, between who we are and who God says we are meant to be. We feel nqalified to do God’s work or to live ot the calling we imagine. Bt God has a way of sing or weaknesses for good. In fact, God loves nqalified people.In (Un)Qalified, Pastor Steven Frtick helps yo peel back the assmptions yo’ve made abot yorself and see yorself as God sees yo. Becase tre peace and confidence come not from worldly perfection bt from acceptance: God’s acceptance of yo, yor acceptance of yorself, and yor acceptance of God’s process of change.This is a book abot nderstanding yor identity in light of who God is. It’s a book abot coming to terms with the good, the bad, and the nmentionable in yor life and learning to let God se yo. It’s abot charging into the gap between yor present and yor hopes and meeting God there. After all, God can’t bless who yo pretend to be. Bt he longs to bless who yo really are; a flawed and broken person. Good thing for s that God is in the bsiness of sing broken people to do big things. Being Unqalified Is God’s Favorite QalificationOr cltre tells s that the answer to or failres is to fix them. The soltion to or weaknesses is to hide them. The secret to or sccess is to appear as flawless as possible. Bt God’s qalifying system is different than the world’s. So is his view of or weaknesses, or prpose, and or tre selves.In (Un)Qalified, Steven Frtick explores who God is as the…",https://books.toscrape.com/media/cache/e4/f/e4fc1c554ecb6c45ddb4eeb1.jpg
https://books.toscrape.com/cataloge/the-girl-yo-left-behind-the-girl-yo-left-behind-1_443/index.html,The Girl Yo Left Behind (The Girl Yo Left Behind #1),Historical,15.7,1,In stock,,eb745ec5751d,"What happened to the girl yo left behind?In 116, French artist Edoard Lefevre leaves his wife Sophie to fight at the Front. When her town falls into German hands, his portrait of Sophie stirs the heart of the local Kommandant and cases her to risk everything - her family, reptation and life—in the hope of seeing her tre love one last time.Nearly a centry later and S What happened to the girl yo left behind?In 116, French artist Edoard Lefevre leaves his wife Sophie to fight at the Front. When her town falls into German hands, his portrait of Sophie stirs the heart of the local Kommandant and cases her to risk everything - her family, reptation and life—in the hope of seeing her tre love one last time.Nearly a centry later and Sophie's portrait is given to Liv by her yong hsband shortly before his sdden death. Its beaty speaks of their short life together, bt when the painting's dark and passion-torn history is revealed, Liv discovers that the first spark of love she has felt since she lost him is threatened...In The Girl Yo Left Behind two yong women, separated by a centry, are nited in their determination to fight for the thing they love most—whatever the cost.",https://books.toscrape.com/media/cache/6d/7/6d71f4d3e35661ca7ea53d.jpg
https://books.toscrape.com/cataloge/szie-snowflake-one-beatifl-flake-a-self-esteem-story_56/index.html,Szie Snowflake: One beatifl flake (a self-esteem story),Novels,54.1,5,In stock,,e5ed75af7e43,"Follow Szie on a magical jorney of discovering her tre self worth within.A beatiflly illstrated self-esteem story for all ages!Szie Snowflake strggles with what she sees as ""flaws"" and ""imperfections"" in her beatifl design. ""How can I notice my oter is bright, when there are parts of myself I don't really like?""Throgh the love and wisdom of her parents, Szie d Follow Szie on a magical jorney of discovering her tre self worth within.A beatiflly illstrated self-esteem story for all ages!Szie Snowflake strggles with what she sees as ""flaws"" and ""imperfections"" in her beatifl design. ""How can I notice my oter is bright, when there are parts of myself I don't really like?""Throgh the love and wisdom of her parents, Szie discovers her tre inner beaty and light. ""It's who yo are inside that conts, yor inner light that shines throgh, and who yo are otside is wondros too.""""Look at yor art, look at yor design, six magical sides, created one of a kind!""""Szie dear, we love yo for yo. Each and every single part of yo too!""A wonderfl affirmation of the importance of self-love and niqeness; nrtring to every child. Copled with 36 plifting, awe-inspiring illstrations!Crystaline Rose is a teacher and children’s book athor. She has read her books to thosands of children in classrooms and book readings. They are met with ‘Aha’ moments, appreciation and excitement. “The illstrations are magical and the story has meaning!” ""It's my favorite book ever!"" Parents share that their children are asking for “the rainbow book!” and look forward to…",https://books.toscrape.com/media/cache/5/13/513f74574dcd47eb73fd6fe.jpg
https://books.toscrape.com/cataloge/all-the-light-we-cannot-see_66/index.html,All the Light We Cannot See,Historical,.7,5,In stock,,361fc1c45d15,"WINNER OF THE PULITZER PRIZEFrom the highly acclaimed, mltiple award-winning Anthony Doerr, the beatifl, stnningly ambitios instant New York Times bestseller abot a blind French girl and a German boy whose paths collide in occpied France as both try to srvive the devastation of World War II.Marie-Lare lives with her father in Paris near the Msem of Natral Histo WINNER OF THE PULITZER PRIZEFrom the highly acclaimed, mltiple award-winning Anthony Doerr, the beatifl, stnningly ambitios instant New York Times bestseller abot a blind French girl and a German boy whose paths collide in occpied France as both try to srvive the devastation of World War II.Marie-Lare lives with her father in Paris near the Msem of Natral History, where he works as the master of its thosands of locks. When she is six, Marie-Lare goes blind and her father bilds a perfect miniatre of their neighborhood so she can memorize it by toch and navigate her way home. When she is twelve, the Nazis occpy Paris and father and daghter flee to the walled citadel of Saint-Malo, where Marie-Lare’s reclsive great-ncle lives in a tall hose by the sea. With them they carry what might be the msem’s most valable and dangeros jewel.In a mining town in Germany, the orphan Werner grows p with his yonger sister, enchanted by a crde radio they find. Werner becomes an expert at bilding and fixing these crcial new instrments, a talent that wins him a place at a brtal academy for Hitler Yoth, then a special assignment to track the resistance. More and more aware of the hman cost of…",https://books.toscrape.com/media/cache/a6/6/a66c1d6bb1fff65f51a11616baef.jpg
https://books.toscrape.com/cataloge/how-to-stop-worrying-and-start-living_431/index.html,How to Stop Worrying and Start Living,Self Help,46.4,5,In stock,,e7c6cefe1b,"Learn how to break the worry habit -- Now and forever! With Dale Carnegie's timeless advice in hand, more than six million people have learned how to eliminate debilitating fear and worry from their lives and to embrace a worry-free ftre. In this classic work, How to Stop Worrying and Start Living, Carnegie offers a set of practical formlas that yo can pt to work tod Learn how to break the worry habit -- Now and forever! With Dale Carnegie's timeless advice in hand, more than six million people have learned how to eliminate debilitating fear and worry from their lives and to embrace a worry-free ftre. In this classic work, How to Stop Worrying and Start Living, Carnegie offers a set of practical formlas that yo can pt to work today. It is a book packed with lessons that will last a lifetime and make that lifetime happier! DISCOVER HOW TO: Eliminate fifty percent of bsiness worries immediatelyRedce financial worriesAvoid fatige -- and keep looking yongAdd one hor a day to yor waking lifeFind yorself and be yorself -- remember there is no one else on earth like yo! Fascinating to read and easy to apply, How to Stop Worrying and Start Living deals with fndamental emotions and life-changing ideas. There's no need to live with worry and anxiety that keep yo from enjoying a fll, active life!",https://books.toscrape.com/media/cache/64/c/64cfc6cd343cef4dc647eec.jpg
https://books.toscrape.com/cataloge/logan-kade-fallen-crest-high-55_34/index.html,Logan Kade (Fallen Crest High #5.5),Academic,13.1,,In stock,,73cf54cde7de,"People think that jst becase they know my name, my reptation, and my family that they know me. They don't.They say I’m a manwhore, bt who woldn’t be with my face and body? They say I’m a partier, and that's not going to change. They say I'm a fighter, and hell yes I am. F*ck with mine, and I’ll f*ck yo back ten times worse.So, yes. Maybe what they say is tre, bt th People think that jst becase they know my name, my reptation, and my family that they know me. They don't.They say I’m a manwhore, bt who woldn’t be with my face and body? They say I’m a partier, and that's not going to change. They say I'm a fighter, and hell yes I am. F*ck with mine, and I’ll f*ck yo back ten times worse.So, yes. Maybe what they say is tre, bt that’s not all of me.I'm loyal to a damned falt. If yo earn it, I'll never leave yor side. And when I love, I love hard, bt there's another side to me where it's dark and painfl. That side's been kept hidden, ntil her. Taylor saw inside of me, and the second she was there, she owned me.People think they know me……bt only she can see me.",https://books.toscrape.com/media/cache/b/44/b444ec4bf1b63bddc7354.jpg
https://books.toscrape.com/cataloge/a-new-earth-awakening-to-yor-lifes-prpose_311/index.html,A New Earth: Awakening to Yor Life's Prpose,Spiritality,55.65,5,In stock,,f6ae356db113e,"The highly anticipated follow-p to the ,, copy bestselling inspirational book, ""The Power of Now"" With his bestselling spirital gide ""The Power of Now,"" Eckhart Tolle inspired millions of readers to discover the freedom and joy of a life lived ?in the now.? In ""A New Earth,"" Tolle expands on these powerfl ideas to show how transcending or ego-based state of co The highly anticipated follow-p to the ,, copy bestselling inspirational book, ""The Power of Now"" With his bestselling spirital gide ""The Power of Now,"" Eckhart Tolle inspired millions of readers to discover the freedom and joy of a life lived ?in the now.? In ""A New Earth,"" Tolle expands on these powerfl ideas to show how transcending or ego-based state of consciosness is not only essential to personal happiness, bt also the key to ending conflict and sffering throghot the world. Tolle describes how or attachment to the ego creates the dysfnction that leads to anger, jealosy, and nhappiness, and shows readers how to awaken to a new state of consciosness and follow the path to a trly flfilling existence. ""The Power of Now"" was a qestion-and-answer handbook. ""A New Earth"" has been written as a traditional narrative, offering anecdotes and philosophies in a way that is accessible to all. Illminating, enlightening, and plifting, ""A New Earth"" is a profondly spirital manifesto for a better way of life?and for bilding a better world.",https://books.toscrape.com/media/cache/13/1b/131bca35aaf4cd3cd4.jpg
https://books.toscrape.com/cataloge/nreasonable-hope-finding-faith-in-the-god-who-brings-prpose-to-yor-pain_55/index.html,Unreasonable Hope: Finding Faith in the God Who Brings Prpose to Yor Pain,Spiritality,46.33,,In stock,,4cb5d7c47,"Where was God when ____? How cold God allow ____? Why? These are the qestions that flood or hearts and minds when the nimaginable happens. When things go horribly wrong and the world seems to be nraveling, how do yo believe in God s goodness? How do yo cling to hope? Chad Veach directs readers away from cliched Snday school answers that fail to offer real comfort o Where was God when ____? How cold God allow ____? Why? These are the qestions that flood or hearts and minds when the nimaginable happens. When things go horribly wrong and the world seems to be nraveling, how do yo believe in God s goodness? How do yo cling to hope? Chad Veach directs readers away from cliched Snday school answers that fail to offer real comfort or provide faith-bilding insights. Instead, he draws from God s promises in the Bible and from the story of his own daghter s diagnosis of a devastating and debilitating disease to reveal simple, prposefl steps for dealing with pain. Resting in God s love, remembering his past faithflness, and realizing the distinction between having faith and clinging to hope are jst some of these steps. Veach reminds s that becase we know who God is, we know there is hope.""",https://books.toscrape.com/media/cache//43/435db4efe6a7dbccaf6d.jpg
